Status,Station Name,Observation Date,Latitude,Longitude,Has Media,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Start Time,End Time,Was this observation completed in person or by listening to an audio device?,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes
,Crescent Ridge Pond,2023-06-21,41.22844,-81.74565,No,Hinckley,Medina,Ohio,Rural,Pond,Natural,Permanent,Stream or River,,,10:00 PM,10:03 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,Boneta Back Acre,2023-06-20,41.077397,-81.776806,No,Wadsworth,Medina,Ohio,Rural,Wet Meadow,Natural,Temporary Some Years,Stream or River,Acre of mostly untilled land bordered on two sides with small stream.  Runoff  water also collects in low spots on the land and some years dries up completely in the summer. ,Residential back acre on Boneta rd. in Sharon Township,10:10 PM,10:13 PM,,21.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping","DB 18-35, some traffic and aircraft noise. Calls 360.  More East, NE, S. Little rain of late, this area is dryer without a permanent water source."
,Foxfire Fire Pond 3,2023-06-20,41.07343,-81.77464,No,Wadsworth,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond  in 2 acre lot housing development, but established perhaps 10 years ago. Formerly farm field.  Substanial cover surrounding pond and owner says no intention of changing that.","Boneta Rd left to Ridgetop Rd, then right onto Foxfire RD ",09:59 PM,10:02 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping","GTF 360, closest near pond.  GF almost continuous, perhaps 5-6 individuals in pond.  BF, 2 but large gaps between calls"
,Foxfire Fire Pond 3,2023-06-20,41.07343,-81.77464,No,Wadsworth,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond  in 2 acre lot housing development, but established perhaps 10 years ago. Formerly farm field.  Substanial cover surrounding pond and owner says no intention of changing that.","Boneta Rd left to Ridgetop Rd, then right onto Foxfire RD ",09:59 PM,10:02 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,"GTF 360, closest near pond.  GF almost continuous, perhaps 5-6 individuals in pond.  BF, 2 but large gaps between calls"
,Foxfire Fire Pond 3,2023-06-20,41.07343,-81.77464,No,Wadsworth,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond  in 2 acre lot housing development, but established perhaps 10 years ago. Formerly farm field.  Substanial cover surrounding pond and owner says no intention of changing that.","Boneta Rd left to Ridgetop Rd, then right onto Foxfire RD ",09:59 PM,10:02 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,"GTF 360, closest near pond.  GF almost continuous, perhaps 5-6 individuals in pond.  BF, 2 but large gaps between calls"
,Ridge Top Fire Pond,2023-06-20,41.075708,-81.773062,No,Wadsworth,Medina,Ohio,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond in large plot housing development that is bordered by a farm to the north, a small woods to the west north west and currently undeveloped lots to the west. Homes to the south",Walk off of Ridge Top road about 20 paces  north of the west end of the pond.,09:50 PM,09:53 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping","GTF 360, but most N and E.  GF was an individual who timidly called twice from the pond. This is first call from the pond this year since banks were defoliated and rock covered in landscaping of new house beside the pond."
,Ridge Top Fire Pond,2023-06-20,41.075708,-81.773062,No,Wadsworth,Medina,Ohio,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond in large plot housing development that is bordered by a farm to the north, a small woods to the west north west and currently undeveloped lots to the west. Homes to the south",Walk off of Ridge Top road about 20 paces  north of the west end of the pond.,09:50 PM,09:53 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,"GTF 360, but most N and E.  GF was an individual who timidly called twice from the pond. This is first call from the pond this year since banks were defoliated and rock covered in landscaping of new house beside the pond."
,MCPD Plum Creek South Pond ,2023-06-19,41.207563,-81.808682,No,Brunswick,Medina,Ohio,Suburban,Pond,Not Known,Permanent,Pond,Medina County Park District Plum Creek South,"Medina County Park District Plum Creek South parking lot, take trail",09:48 PM,09:51 PM,,22.2,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Plum Creek South Pond ,2023-06-19,41.207563,-81.808682,No,Brunswick,Medina,Ohio,Suburban,Pond,Not Known,Permanent,Pond,Medina County Park District Plum Creek South,"Medina County Park District Plum Creek South parking lot, take trail",09:43 PM,09:46 PM,,22.2,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Plum Creek South Vernal Pool,2023-06-19,41.20703,-81.81051,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Human-made,Temporary Some Years,Precipitation or Runoff,Medina County Park District man-made vernal pool at Plum Creek Park South. ,"From the South Pond, take the connector trail to the Blue and Red trails.  At the fork, take the trails (Red and Blue) to the left.  The vernal pool will be a short walk down on the left.  The vernal pool is not visible from the trail but it is hidden behind a large earthen mound which is easily visible from the trail.",09:42 PM,09:45 PM,,22.2,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Plum Creek South Vernal Pool,2023-06-19,41.20703,-81.81051,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Human-made,Temporary Some Years,Precipitation or Runoff,Medina County Park District man-made vernal pool at Plum Creek Park South. ,"From the South Pond, take the connector trail to the Blue and Red trails.  At the fork, take the trails (Red and Blue) to the left.  The vernal pool will be a short walk down on the left.  The vernal pool is not visible from the trail but it is hidden behind a large earthen mound which is easily visible from the trail.",09:43 PM,09:46 PM,,22.2,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Mugrage Pond 01,2023-06-19,41.13879,-81.78109,No,Medina,Medina,Ohio,,,,,,,,11:01 PM,11:04 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping","DB: 26-54 Again very loud, no traffic noise.  Also heard at 2:36 into recording heard different call: Possibly Wood Frog, Leopard Frog or maybe a green frog variation call. "
,MCPD Mugrage Pond 01,2023-06-19,41.13879,-81.78109,No,Medina,Medina,Ohio,,,,,,,,11:01 PM,11:04 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,"3 - Full chorus, calls are constant, continuous and overlapping","DB: 26-54 Again very loud, no traffic noise.  Also heard at 2:36 into recording heard different call: Possibly Wood Frog, Leopard Frog or maybe a green frog variation call. "
,MCPD Mugrage Pond 01,2023-06-19,41.13879,-81.78109,No,Medina,Medina,Ohio,,,,,,,,11:01 PM,11:04 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,"DB: 26-54 Again very loud, no traffic noise.  Also heard at 2:36 into recording heard different call: Possibly Wood Frog, Leopard Frog or maybe a green frog variation call. "
,MCPD Mugrage Forebay 01,2023-06-19,41.14,-81.78,No,Medina,Medina,Ohio,,,,,,,,10:56 PM,10:59 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping","GTF all around,  DB 27-56 Again, not traffic, Bulls were very loud. "
,MCPD Mugrage Forebay 01,2023-06-19,41.14,-81.78,No,Medina,Medina,Ohio,,,,,,,,10:56 PM,10:59 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,"3 - Full chorus, calls are constant, continuous and overlapping","GTF all around,  DB 27-56 Again, not traffic, Bulls were very loud. "
,MCPD Mugrage Forebay 01,2023-06-19,41.14,-81.78,No,Medina,Medina,Ohio,,,,,,,,10:56 PM,10:59 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,"GTF all around,  DB 27-56 Again, not traffic, Bulls were very loud. "
,MCPD Mugrage Vernal Pool 01,2023-06-19,41.140401,-81.780282,No,Medina,Medina,Ohio,Park District,Vernal Pool,Not Known,Temporary Some Years,Not Known,Woodland Vernal Pool located in Wet Woods/Woodland Swamp-type habitat.,"Walk the yellow trail from the playground parking lot, in between the pond and forebay, follow the trail into the woods past the Nature Trail, until the path bends left.  Stop to listen to the East, where the vernal pool comes quite close to the trail.",10:49 PM,10:52 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",Calls all in direction of the pond except a few scattered GTFs.  DB 28-40  Very little traffic noise so the high number was due to calls
,MCPD Mugrage Vernal Pool 01,2023-06-19,41.140401,-81.780282,No,Medina,Medina,Ohio,Park District,Vernal Pool,Not Known,Temporary Some Years,Not Known,Woodland Vernal Pool located in Wet Woods/Woodland Swamp-type habitat.,"Walk the yellow trail from the playground parking lot, in between the pond and forebay, follow the trail into the woods past the Nature Trail, until the path bends left.  Stop to listen to the East, where the vernal pool comes quite close to the trail.",10:49 PM,10:52 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,Calls all in direction of the pond except a few scattered GTFs.  DB 28-40  Very little traffic noise so the high number was due to calls
,MCPD Mugrage Vernal Pool 01,2023-06-19,41.140401,-81.780282,No,Medina,Medina,Ohio,Park District,Vernal Pool,Not Known,Temporary Some Years,Not Known,Woodland Vernal Pool located in Wet Woods/Woodland Swamp-type habitat.,"Walk the yellow trail from the playground parking lot, in between the pond and forebay, follow the trail into the woods past the Nature Trail, until the path bends left.  Stop to listen to the East, where the vernal pool comes quite close to the trail.",10:49 PM,10:52 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,Calls all in direction of the pond except a few scattered GTFs.  DB 28-40  Very little traffic noise so the high number was due to calls
,MCPD River Styx Pond 01,2023-06-19,41.04777,-81.79743,No,Wadsworth,Medina,Ohio,Park,Pond,Artificially Altered,Permanent,Stream or River,Medina County Park Distric River Styx Park,"Park in lot and follow yellow, alll purpose trail to the Fishing Access",10:25 PM,10:28 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,GTF calls to NE near parking lot and in fields beyond the road.  DB 28-48(traffic)
,MCPD River Styx Pond 01,2023-06-19,41.04777,-81.79743,No,Wadsworth,Medina,Ohio,Park,Pond,Artificially Altered,Permanent,Stream or River,Medina County Park Distric River Styx Park,"Park in lot and follow yellow, alll purpose trail to the Fishing Access",10:25 PM,10:28 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,GTF calls to NE near parking lot and in fields beyond the road.  DB 28-48(traffic)
,MCPD River Styx Pond 01,2023-06-19,41.04777,-81.79743,No,Wadsworth,Medina,Ohio,Park,Pond,Artificially Altered,Permanent,Stream or River,Medina County Park Distric River Styx Park,"Park in lot and follow yellow, alll purpose trail to the Fishing Access",10:25 PM,10:28 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,GTF calls to NE near parking lot and in fields beyond the road.  DB 28-48(traffic)
,MCPD Hubbard Valley 02,2023-06-19,41.04208,-81.85308,No,Seville,Medina,Ohio,Rural,Vernal Pool,Natural,Not Known,Precipitation or Runoff,"Yellow trail, HVPark, VErnal pools, both sides of trail. ",Yellow trail past fork of yellow and blue. Look for low spots on each side before you come to fork in yellow trail,10:06 PM,10:09 PM,,22.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping","Calls distant and to E and S, a few more distant to the west. DB 21"
,MCPD Hubbard Valley 01,2023-06-19,41.0416,-81.85244,No,Seville,Medina,Ohio,Rural,Vernal Pool,Natural,Not Known,Precipitation or Runoff,"Blue trail, HVPark, VErnal pools, both sides of trail but some drainage culverts in it. Within 50 yards of stream feeding lake.",Blue trail past fork of yellow and blue. Look for low spots on each side before you come to rise up to pine/spruce restoration area.,10:00 PM,10:03 PM,,22.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",Calls distant and mostly in the direction of the parking lot.  DB level 22
,CUVA: Pleasant Valley East (969),2023-06-18,41.359086,-81.604346,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Precipitation or Runoff,,,09:45 PM,09:48 PM,,20,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: Pleasant Valley East (969),2023-06-18,41.359086,-81.604346,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Precipitation or Runoff,,,09:45 PM,09:48 PM,,20,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Pleasant Valley East (969),2023-06-08,41.359086,-81.604346,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Precipitation or Runoff,,,09:40 PM,09:43 PM,,18.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,CUVA: PV - Brookside (968),2023-06-18,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:45 PM,09:48 PM,,20,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: PV - Brookside (968),2023-06-18,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:45 PM,09:48 PM,,20,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: PV - Brookside (968),2023-06-18,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:45 PM,09:48 PM,,20,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Buckeye Woods Vernal Pool 02,2023-06-17,41.10627,-81.91869,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Permanent,Not Known,"Larger vernal pool to the north, on east side of trail across from bench and just after trail intersection","Park at the Buckeye Woods Park Ballfields, take the connector trail to the Chippewa Inlet Trail and turn right or north onto the trail for roughly 0.4 miles.  Continue down the trail past the vernal pool themed interpretive panel and find a bench on the left (west) side of the trail and a vernal pool directly across on the right (east) side of the trail.  Survey the pool from this point.",09:42 PM,09:45 PM,,17.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,a single peeper was heard off site.
,MCPD Buckeye Woods Vernal Pool 01,2023-06-17,41.10609,-81.91876,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Not Known,Not Known,Vernal Pool directly behind vernal pool interpretive panel,"Park at the Buckeye Woods Park Ballfields, take the connector trail to the Chippewa Inlet Trail and turn right or north onto the trail for roughly 0.4 miles.  Find the vernal pool themed interpretive panel and survey the pool directly behind this sign. ",09:34 PM,09:37 PM,,17.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,MCPD Buckeye Woods 02 ,2023-06-17,41.10114,-81.91975,No,Medina,Medina,Ohio,Rural,Ditch,Human-made,Not Known,Not Known,This site is probably best described as a trail-side ditch but has very marsh-like tendencies and can be found near the connection of the ball field connector trail and the Chippewa Inlet Trail near the Schleman Nature Preserve bridge.,Park near the BWP ball fields and take the connector trail roughly three quarters of the way to the CIT.  Turn right or north once you've reached roughly the middle of the emergent vegetation.,09:59 PM,10:02 PM,,17.2,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,A green frog was heard passing the site eariler enroute to other sites. 
,MCPD Chippewa Inlet South Wetland 01,2023-06-17,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,10:24 PM,10:27 PM,,15.6,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Chippewa Inlet South Wetland 01,2023-06-17,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,10:24 PM,10:27 PM,,15.6,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Inlet South Wetland 01,2023-06-17,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,10:24 PM,10:27 PM,,15.6,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Buckeye Woods 01,2023-06-17,41.104856,-81.919173,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,A woodland swamp which has a walking path through it. There are  vernal pools on both sides of the path.,"Park in the southwestern lot of Buckeye Woods Park, near ballfields. Take the connector trail to the Inlet Trail, turn right (North) and stop to survey at the second bend to the right (East) which should be fairly central to the woodland swamp.",09:52 PM,09:55 PM,,15.6,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,Tree Frogs calls were extremely loud!! Heard Willow Flycatcher.
,MCPD Buckeye Woods 01,2023-06-17,41.104856,-81.919173,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,A woodland swamp which has a walking path through it. There are  vernal pools on both sides of the path.,"Park in the southwestern lot of Buckeye Woods Park, near ballfields. Take the connector trail to the Inlet Trail, turn right (North) and stop to survey at the second bend to the right (East) which should be fairly central to the woodland swamp.",09:52 PM,09:55 PM,,15.6,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,Tree Frogs calls were extremely loud!! Heard Willow Flycatcher.
,Heron Point Wetlands,2023-06-16,41.02391,-81.44311,No,Lakemore,Summit,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Lake,Wetlands on Channel leading into Springfield Lake ,,10:38 PM,10:41 PM,,14.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,6 calls then 6 more further away
,Heron Point Wetlands,2023-06-16,41.02391,-81.44311,No,Lakemore,Summit,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Lake,Wetlands on Channel leading into Springfield Lake ,,10:38 PM,10:41 PM,,14.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,
,Heron Point Wetlands,2023-06-16,41.02391,-81.44311,No,Lakemore,Summit,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Lake,Wetlands on Channel leading into Springfield Lake ,,10:38 PM,10:41 PM,,14.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,CUVA: Everett Swamp (332),2023-06-16,41.21201,-81.56607,No,Cuyahoga Falls,Summit,Ohio,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,Buttonbush Swamp - Oxbow,Roadside parking or walk from Maintenace Yard/,10:44 PM,10:47 PM,,16.1,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Everett Swamp (332),2023-06-16,41.21201,-81.56607,No,Cuyahoga Falls,Summit,Ohio,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,Buttonbush Swamp - Oxbow,Roadside parking or walk from Maintenace Yard/,10:44 PM,10:47 PM,,16.1,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Wilbeth Rd Trailhead,2023-06-14,41.0399,-81.53906,No,Akron,Summit,Ohio,Urban,Pond,Not Known,Permanent,Stream or River,,,09:19 PM,09:22 PM,,15.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: Station Road 853,2023-06-13,41.319481,-81.586657,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Wetland Southeast of Station Road Bridge, between the Canal and the River. CUVA monitored site.","Park at Station Road Parking lot, cross over bridge.  Wetland is to the right. Take a right on the towpath if you want to view the wetland from another perspective.",09:32 PM,09:35 PM,,14.4,0 - CALM: smoke rises vertically,None,Much Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,Fairlawn Park Swamp,2023-06-12,41.11117,-81.62933,No,Fairlawn,Summit,Ohio,Urban,Swamp or Woodland Swamp,Not Known,Not Known,Not Known,swampy pond with lots of woody reeds,,10:02 PM,10:05 PM,,13.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Brunswick Lake 01,2023-06-11,41.234903,-81.8155,No,Brunswick,Medina,Ohio,Suburban, ,Human-made,Permanent,Stream or River,Park at Susan Hambley Nature Center.  Follow the paved path towards the building and trail sign.  Continue past the apartments on the paved trail until you come to the center of the boardwalk.  Face the shallower side to your right.,,10:47 PM,10:50 PM,,15,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,American Bullfrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Brunswick Lake 01,2023-06-11,41.234903,-81.8155,No,Brunswick,Medina,Ohio,Suburban, ,Human-made,Permanent,Stream or River,Park at Susan Hambley Nature Center.  Follow the paved path towards the building and trail sign.  Continue past the apartments on the paved trail until you come to the center of the boardwalk.  Face the shallower side to your right.,,10:47 PM,10:50 PM,,15,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Brunswick Lake 01,2023-06-11,41.234903,-81.8155,No,Brunswick,Medina,Ohio,Suburban, ,Human-made,Permanent,Stream or River,Park at Susan Hambley Nature Center.  Follow the paved path towards the building and trail sign.  Continue past the apartments on the paved trail until you come to the center of the boardwalk.  Face the shallower side to your right.,,10:47 PM,10:50 PM,,15,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Brunswick Lake 01,2023-06-11,41.234903,-81.8155,No,Brunswick,Medina,Ohio,Suburban, ,Human-made,Permanent,Stream or River,Park at Susan Hambley Nature Center.  Follow the paved path towards the building and trail sign.  Continue past the apartments on the paved trail until you come to the center of the boardwalk.  Face the shallower side to your right.,,10:47 PM,10:50 PM,,15,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,American Toad,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Brunswick Vernal Pool 01,2023-06-11,41.235197,-81.814732,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,"From the Susan Hambley Nature Center parking lot, follow the paved path past the nature center and sign.  Shortly after, you will find a dirt/gravel trail to the left, follow this until the first bench on the right which overlooks the pool.",,10:31 PM,10:34 PM,,15.6,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Brunswick Vernal Pool 01,2023-06-11,41.235197,-81.814732,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,"From the Susan Hambley Nature Center parking lot, follow the paved path past the nature center and sign.  Shortly after, you will find a dirt/gravel trail to the left, follow this until the first bench on the right which overlooks the pool.",,10:31 PM,10:34 PM,,15.6,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 01,2023-06-11,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",09:33 PM,09:36 PM,,16.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
